game,player 1 score,player 2 score,steps,total score
1,-10.0,10.0,2083,-10.0
2,6.0,-6.0,2213,6.0
3,1.0,-1.0,2904,1.0
4,-5.0,5.0,2429,-5.0
5,7.0,-7.0,2630,7.0
6,-7.0,7.0,2309,-7.0
7,-8.0,8.0,2210,-8.0
8,-3.0,3.0,2620,-3.0
9,-3.0,3.0,2616,-3.0
10,7.0,-7.0,2255,7.0
11,-8.0,8.0,2149,-8.0
12,-3.0,3.0,3161,-3.0
13,-2.0,2.0,2408,-2.0
14,7.0,-7.0,2320,7.0
15,3.0,-3.0,2220,3.0
16,-4.0,4.0,2429,-4.0
17,-5.0,5.0,2555,-5.0
18,-11.0,11.0,2286,-11.0
19,-3.0,3.0,2123,-3.0
20,-10.0,10.0,2188,-10.0
21,-9.0,9.0,2228,-9.0
22,-6.0,6.0,1964,-6.0
23,3.0,-3.0,2264,3.0
24,-4.0,4.0,2885,-4.0
25,6.0,-6.0,1942,6.0
26,-6.0,6.0,2347,-6.0
27,8.0,-8.0,2137,8.0
28,-3.0,3.0,2702,-3.0
29,8.0,-8.0,2201,8.0
30,8.0,-8.0,1903,8.0
31,-5.0,5.0,2205,-5.0
32,8.0,-8.0,1948,8.0
33,13.0,-13.0,1996,13.0
34,-14.0,14.0,1963,-14.0
35,7.0,-7.0,2423,7.0
36,-5.0,5.0,2424,-5.0
37,17.0,-17.0,1485,17.0
38,-8.0,8.0,2008,-8.0
39,-3.0,3.0,2333,-3.0
40,-4.0,4.0,2159,-4.0
41,-10.0,10.0,1771,-10.0
42,-7.0,7.0,2301,-7.0
43,-8.0,8.0,2164,-8.0
44,-12.0,12.0,2118,-12.0
45,5.0,-5.0,3359,5.0
46,-4.0,4.0,2620,-4.0
47,-6.0,6.0,2249,-6.0
48,-8.0,8.0,2307,-8.0
49,-7.0,7.0,2219,-7.0
50,13.0,-13.0,1824,13.0
51,-6.0,6.0,2196,-6.0
52,2.0,-2.0,2376,2.0
53,3.0,-3.0,2608,3.0
54,6.0,-6.0,2341,6.0
55,-8.0,8.0,2746,-8.0
56,-11.0,11.0,1954,-11.0
57,-6.0,6.0,2111,-6.0
58,-2.0,2.0,2451,-2.0
59,-11.0,11.0,2416,-11.0
60,7.0,-7.0,2193,7.0
61,4.0,-4.0,2465,4.0
62,3.0,-3.0,2258,3.0
63,-11.0,11.0,1914,-11.0
64,-1.0,1.0,2963,-1.0
65,-6.0,6.0,2178,-6.0
66,3.0,-3.0,2570,3.0
67,2.0,-2.0,3077,2.0
68,-2.0,2.0,2637,-2.0
69,1.0,-1.0,2555,1.0
70,-8.0,8.0,2150,-8.0
71,-5.0,5.0,2059,-5.0
72,4.0,-4.0,2518,4.0
73,8.0,-8.0,2070,8.0
74,-2.0,2.0,2495,-2.0
75,-7.0,7.0,2059,-7.0
76,2.0,-2.0,2470,2.0
77,4.0,-4.0,2290,4.0
78,7.0,-7.0,2159,7.0
79,9.0,-9.0,1790,9.0
80,2.0,-2.0,2284,2.0
81,-7.0,7.0,2123,-7.0
82,4.0,-4.0,2306,4.0
83,-8.0,8.0,2456,-8.0
84,-3.0,3.0,2835,-3.0
85,2.0,-2.0,2767,2.0
86,-4.0,4.0,2458,-4.0
87,8.0,-8.0,1986,8.0
88,-4.0,4.0,2871,-4.0
89,6.0,-6.0,2118,6.0
90,-3.0,3.0,3665,-3.0
91,-12.0,12.0,2041,-12.0
92,-9.0,9.0,2083,-9.0
93,-6.0,6.0,2282,-6.0
94,-8.0,8.0,2740,-8.0
95,-9.0,9.0,2104,-9.0
96,-12.0,12.0,1679,-12.0
97,2.0,-2.0,3359,2.0
98,-10.0,10.0,1898,-10.0
99,-1.0,1.0,2672,-1.0
100,-11.0,11.0,2513,-11.0
101,2.0,-2.0,3298,2.0
102,-6.0,6.0,2828,-6.0
103,-10.0,10.0,1904,-10.0
104,-6.0,6.0,2996,-6.0
105,7.0,-7.0,2023,7.0
106,-1.0,1.0,2979,-1.0
107,-8.0,8.0,2269,-8.0
108,-17.0,17.0,1604,-17.0
109,5.0,-5.0,2299,5.0
110,11.0,-11.0,1829,11.0
111,-12.0,12.0,1855,-12.0
112,-2.0,2.0,2965,-2.0
113,-2.0,2.0,2389,-2.0
114,1.0,-1.0,2737,1.0
115,-6.0,6.0,2255,-6.0
116,-13.0,13.0,1914,-13.0
117,-12.0,12.0,1791,-12.0
118,5.0,-5.0,2255,5.0
119,7.0,-7.0,1810,7.0
120,4.0,-4.0,2154,4.0
121,-10.0,10.0,2159,-10.0
122,3.0,-3.0,2474,3.0
123,3.0,-3.0,2767,3.0
124,-12.0,12.0,2086,-12.0
125,-6.0,6.0,2325,-6.0
126,-11.0,11.0,1903,-11.0
127,8.0,-8.0,1814,8.0
128,-8.0,8.0,2262,-8.0
129,6.0,-6.0,2334,6.0
130,1.0,-1.0,2437,1.0
131,-3.0,3.0,2417,-3.0
132,-4.0,4.0,2484,-4.0
133,-2.0,2.0,2594,-2.0
134,4.0,-4.0,2198,4.0
135,-6.0,6.0,2276,-6.0
136,-11.0,11.0,2341,-11.0
137,-2.0,2.0,2641,-2.0
138,-5.0,5.0,2414,-5.0
139,-1.0,1.0,2613,-1.0
140,3.0,-3.0,2222,3.0
141,9.0,-9.0,2025,9.0
142,-2.0,2.0,2719,-2.0
143,-5.0,5.0,2284,-5.0
144,10.0,-10.0,1993,10.0
145,-8.0,8.0,2755,-8.0
146,1.0,-1.0,2875,1.0
147,-5.0,5.0,2170,-5.0
148,-3.0,3.0,2689,-3.0
149,-6.0,6.0,2098,-6.0
150,6.0,-6.0,2499,6.0
151,-2.0,2.0,2757,-2.0
152,3.0,-3.0,2633,3.0
153,2.0,-2.0,2468,2.0
154,6.0,-6.0,2206,6.0
155,-18.0,18.0,1510,-18.0
156,4.0,-4.0,2597,4.0
157,-4.0,4.0,2606,-4.0
158,-5.0,5.0,2436,-5.0
159,-2.0,2.0,2583,-2.0
160,-7.0,7.0,2528,-7.0
161,-1.0,1.0,2741,-1.0
162,-8.0,8.0,2130,-8.0
163,2.0,-2.0,2409,2.0
164,-8.0,8.0,2514,-8.0
165,-10.0,10.0,1918,-10.0
166,-3.0,3.0,2456,-3.0
167,-4.0,4.0,2251,-4.0
168,8.0,-8.0,1953,8.0
169,1.0,-1.0,3061,1.0
170,6.0,-6.0,2374,6.0
171,-7.0,7.0,2119,-7.0
172,-9.0,9.0,2581,-9.0
173,6.0,-6.0,2569,6.0
174,7.0,-7.0,2059,7.0
175,-10.0,10.0,1749,-10.0
176,-10.0,10.0,1653,-10.0
177,-17.0,17.0,1446,-17.0
178,-2.0,2.0,2235,-2.0
179,9.0,-9.0,1957,9.0
180,-7.0,7.0,2096,-7.0
181,4.0,-4.0,2226,4.0
182,3.0,-3.0,2325,3.0
183,-10.0,10.0,2185,-10.0
184,-12.0,12.0,1741,-12.0
185,-3.0,3.0,2127,-3.0
186,2.0,-2.0,2448,2.0
187,2.0,-2.0,2617,2.0
188,2.0,-2.0,3153,2.0
189,-6.0,6.0,2320,-6.0
190,3.0,-3.0,2636,3.0
191,1.0,-1.0,2330,1.0
192,-6.0,6.0,2246,-6.0
193,-8.0,8.0,2217,-8.0
194,8.0,-8.0,2059,8.0
195,7.0,-7.0,1999,7.0
196,4.0,-4.0,2375,4.0
197,5.0,-5.0,2270,5.0
198,9.0,-9.0,1892,9.0
199,-6.0,6.0,2147,-6.0
200,3.0,-3.0,2614,3.0
201,6.0,-6.0,2753,6.0
202,-10.0,10.0,1902,-10.0
203,-2.0,2.0,2764,-2.0
204,-6.0,6.0,2161,-6.0
205,-10.0,10.0,2818,-10.0
206,9.0,-9.0,2200,9.0
207,1.0,-1.0,2500,1.0
208,-7.0,7.0,2257,-7.0
209,-8.0,8.0,2246,-8.0
210,-7.0,7.0,1726,-7.0
211,-13.0,13.0,1678,-13.0
212,-12.0,12.0,1839,-12.0
213,-2.0,2.0,2838,-2.0
214,1.0,-1.0,2814,1.0
215,-5.0,5.0,2495,-5.0
216,6.0,-6.0,2125,6.0
217,7.0,-7.0,2319,7.0
218,4.0,-4.0,2419,4.0
219,3.0,-3.0,2371,3.0
220,-4.0,4.0,2557,-4.0
221,-1.0,1.0,2188,-1.0
222,-10.0,10.0,2090,-10.0
223,-2.0,2.0,2971,-2.0
224,-15.0,15.0,1887,-15.0
225,-15.0,15.0,1861,-15.0
226,-3.0,3.0,2502,-3.0
227,-5.0,5.0,2388,-5.0
228,-7.0,7.0,2440,-7.0
229,-2.0,2.0,3291,-2.0
230,-6.0,6.0,2425,-6.0
231,-8.0,8.0,2254,-8.0
232,-3.0,3.0,2326,-3.0
233,-6.0,6.0,2008,-6.0
234,-6.0,6.0,2733,-6.0
235,-12.0,12.0,2076,-12.0
236,1.0,-1.0,3012,1.0
237,-4.0,4.0,2738,-4.0
238,13.0,-13.0,1768,13.0
239,-11.0,11.0,2579,-11.0
240,-11.0,11.0,2411,-11.0
241,-6.0,6.0,2201,-6.0
242,1.0,-1.0,2487,1.0
243,-7.0,7.0,2031,-7.0
244,5.0,-5.0,2358,5.0
245,-16.0,16.0,2092,-16.0
246,-2.0,2.0,2306,-2.0
247,2.0,-2.0,2629,2.0
248,-16.0,16.0,1577,-16.0
249,7.0,-7.0,2078,7.0
250,6.0,-6.0,2543,6.0
251,-5.0,5.0,2996,-5.0
252,11.0,-11.0,1815,11.0
253,5.0,-5.0,3151,5.0
254,3.0,-3.0,2438,3.0
255,-4.0,4.0,2406,-4.0
256,7.0,-7.0,2513,7.0
257,-8.0,8.0,2357,-8.0
258,-9.0,9.0,1716,-9.0
259,-3.0,3.0,2503,-3.0
260,-5.0,5.0,2291,-5.0
261,3.0,-3.0,2136,3.0
262,-8.0,8.0,1906,-8.0
263,-7.0,7.0,2385,-7.0
264,-2.0,2.0,2421,-2.0
265,-10.0,10.0,1919,-10.0
266,-7.0,7.0,2031,-7.0
267,-8.0,8.0,2184,-8.0
268,3.0,-3.0,2272,3.0
269,-1.0,1.0,2686,-1.0
270,-8.0,8.0,2286,-8.0
271,-3.0,3.0,2565,-3.0
272,-5.0,5.0,3357,-5.0
273,14.0,-14.0,1813,14.0
274,2.0,-2.0,2845,2.0
275,-6.0,6.0,1823,-6.0
276,-2.0,2.0,2791,-2.0
277,-4.0,4.0,3183,-4.0
278,-4.0,4.0,2421,-4.0
279,-12.0,12.0,1847,-12.0
280,-10.0,10.0,1812,-10.0
281,2.0,-2.0,3046,2.0
282,-8.0,8.0,2251,-8.0
283,-5.0,5.0,2669,-5.0
284,-7.0,7.0,2410,-7.0
285,-3.0,3.0,3092,-3.0
286,4.0,-4.0,2959,4.0
287,-2.0,2.0,2446,-2.0
288,9.0,-9.0,2030,9.0
289,-2.0,2.0,2597,-2.0
290,4.0,-4.0,2578,4.0
291,-3.0,3.0,2193,-3.0
292,2.0,-2.0,2896,2.0
293,-7.0,7.0,2407,-7.0
294,-3.0,3.0,2984,-3.0
295,2.0,-2.0,2453,2.0
296,3.0,-3.0,2563,3.0
297,7.0,-7.0,2516,7.0
298,-8.0,8.0,2243,-8.0
299,3.0,-3.0,3013,3.0
300,-2.0,2.0,2783,-2.0
301,-5.0,5.0,2586,-5.0
302,-2.0,2.0,2776,-2.0
303,-7.0,7.0,2450,-7.0
304,1.0,-1.0,2504,1.0
305,-4.0,4.0,2834,-4.0
306,8.0,-8.0,2018,8.0
307,8.0,-8.0,2055,8.0
308,9.0,-9.0,2062,9.0
309,5.0,-5.0,2134,5.0
310,-14.0,14.0,2546,-14.0
311,-5.0,5.0,2568,-5.0
312,-3.0,3.0,3183,-3.0
313,9.0,-9.0,2307,9.0
314,-8.0,8.0,2269,-8.0
315,-12.0,12.0,1755,-12.0
316,4.0,-4.0,2794,4.0
317,-8.0,8.0,2015,-8.0
318,-7.0,7.0,2173,-7.0
319,-2.0,2.0,2538,-2.0
320,2.0,-2.0,2363,2.0
321,-7.0,7.0,2190,-7.0
322,8.0,-8.0,2197,8.0
323,-4.0,4.0,2378,-4.0
324,-7.0,7.0,2384,-7.0
325,-5.0,5.0,2798,-5.0
326,-5.0,5.0,2473,-5.0
327,2.0,-2.0,3320,2.0
328,-3.0,3.0,2337,-3.0
329,-1.0,1.0,2919,-1.0
330,15.0,-15.0,1923,15.0
331,3.0,-3.0,2219,3.0
332,11.0,-11.0,2008,11.0
333,2.0,-2.0,2515,2.0
334,-2.0,2.0,2388,-2.0
335,-11.0,11.0,1881,-11.0
336,-5.0,5.0,2665,-5.0
337,-4.0,4.0,3040,-4.0
338,-6.0,6.0,3019,-6.0
339,-8.0,8.0,2503,-8.0
340,1.0,-1.0,2360,1.0
341,-15.0,15.0,1687,-15.0
342,-5.0,5.0,2607,-5.0
343,-3.0,3.0,2349,-3.0
344,-6.0,6.0,2264,-6.0
345,-11.0,11.0,1972,-11.0
346,-16.0,16.0,2387,-16.0
347,-7.0,7.0,1858,-7.0
348,-11.0,11.0,2274,-11.0
349,4.0,-4.0,2505,4.0
350,-2.0,2.0,2389,-2.0
351,-10.0,10.0,2140,-10.0
352,6.0,-6.0,2643,6.0
353,12.0,-12.0,1950,12.0
354,-10.0,10.0,2392,-10.0
355,-10.0,10.0,1796,-10.0
356,-2.0,2.0,2308,-2.0
357,-4.0,4.0,2818,-4.0
358,5.0,-5.0,2250,5.0
359,-4.0,4.0,2917,-4.0
360,2.0,-2.0,2901,2.0
361,-3.0,3.0,2169,-3.0
362,-2.0,2.0,2754,-2.0
363,2.0,-2.0,2418,2.0
364,3.0,-3.0,2173,3.0
365,-5.0,5.0,2316,-5.0
366,-3.0,3.0,2802,-3.0
367,1.0,-1.0,2773,1.0
368,-2.0,2.0,2509,-2.0
369,3.0,-3.0,2309,3.0
370,-2.0,2.0,2803,-2.0
371,6.0,-6.0,1942,6.0
372,3.0,-3.0,2571,3.0
373,6.0,-6.0,2266,6.0
374,1.0,-1.0,2853,1.0
375,-8.0,8.0,2257,-8.0
376,-6.0,6.0,2259,-6.0
377,-2.0,2.0,2693,-2.0
378,5.0,-5.0,2217,5.0
379,-6.0,6.0,2329,-6.0
380,11.0,-11.0,1940,11.0
381,-12.0,12.0,1897,-12.0
382,3.0,-3.0,2575,3.0
383,6.0,-6.0,2192,6.0
384,-6.0,6.0,2591,-6.0
385,-2.0,2.0,2318,-2.0
386,-7.0,7.0,2450,-7.0
387,-4.0,4.0,2639,-4.0
388,5.0,-5.0,2139,5.0
389,-6.0,6.0,2287,-6.0
390,-5.0,5.0,3073,-5.0
391,7.0,-7.0,2412,7.0
392,2.0,-2.0,2608,2.0
393,6.0,-6.0,2423,6.0
394,2.0,-2.0,2409,2.0
395,-8.0,8.0,2696,-8.0
396,2.0,-2.0,2555,2.0
397,7.0,-7.0,2107,7.0
398,9.0,-9.0,1895,9.0
399,-4.0,4.0,2210,-4.0
400,1.0,-1.0,2838,1.0
401,-3.0,3.0,2507,-3.0
402,1.0,-1.0,2651,1.0
403,8.0,-8.0,2089,8.0
404,3.0,-3.0,2301,3.0
405,2.0,-2.0,2138,2.0
406,-4.0,4.0,2432,-4.0
407,1.0,-1.0,2700,1.0
408,-1.0,1.0,2882,-1.0
409,-3.0,3.0,2744,-3.0
410,4.0,-4.0,2291,4.0
411,-3.0,3.0,2452,-3.0
412,-2.0,2.0,2609,-2.0
413,-10.0,10.0,1985,-10.0
414,6.0,-6.0,2036,6.0
415,-12.0,12.0,1841,-12.0
416,-7.0,7.0,2440,-7.0
417,-2.0,2.0,2645,-2.0
418,1.0,-1.0,2612,1.0
419,2.0,-2.0,2368,2.0
420,-10.0,10.0,2008,-10.0
421,6.0,-6.0,2226,6.0
422,-4.0,4.0,2102,-4.0
423,-14.0,14.0,2327,-14.0
424,-12.0,12.0,2119,-12.0
425,-9.0,9.0,2154,-9.0
426,6.0,-6.0,2226,6.0
427,-10.0,10.0,2028,-10.0
428,9.0,-9.0,1915,9.0
429,3.0,-3.0,2359,3.0
430,-1.0,1.0,2469,-1.0
431,-5.0,5.0,2436,-5.0
432,-10.0,10.0,2202,-10.0
433,4.0,-4.0,2183,4.0
434,-3.0,3.0,2299,-3.0
435,-6.0,6.0,2219,-6.0
436,-4.0,4.0,2000,-4.0
437,-2.0,2.0,2405,-2.0
438,-1.0,1.0,2402,-1.0
439,-9.0,9.0,2872,-9.0
440,3.0,-3.0,2325,3.0
441,-5.0,5.0,2517,-5.0
442,1.0,-1.0,3449,1.0
443,4.0,-4.0,2758,4.0
444,12.0,-12.0,1758,12.0
445,-6.0,6.0,2167,-6.0
446,6.0,-6.0,2104,6.0
447,1.0,-1.0,2432,1.0
448,-7.0,7.0,2615,-7.0
449,8.0,-8.0,1971,8.0
450,5.0,-5.0,2388,5.0
451,-3.0,3.0,2382,-3.0
452,6.0,-6.0,2170,6.0
453,7.0,-7.0,2150,7.0
454,-5.0,5.0,2691,-5.0
455,4.0,-4.0,2740,4.0
456,-6.0,6.0,2206,-6.0
457,-8.0,8.0,2172,-8.0
458,4.0,-4.0,2468,4.0
459,5.0,-5.0,3043,5.0
460,-2.0,2.0,2583,-2.0
461,1.0,-1.0,2433,1.0
462,-6.0,6.0,2333,-6.0
463,-12.0,12.0,1702,-12.0
464,3.0,-3.0,2723,3.0
465,7.0,-7.0,2093,7.0
466,-3.0,3.0,2947,-3.0
467,-9.0,9.0,1785,-9.0
468,1.0,-1.0,2618,1.0
469,-9.0,9.0,2354,-9.0
470,1.0,-1.0,2536,1.0
471,10.0,-10.0,1772,10.0
472,4.0,-4.0,2312,4.0
473,8.0,-8.0,1930,8.0
474,-3.0,3.0,2406,-3.0
475,13.0,-13.0,1562,13.0
476,1.0,-1.0,2613,1.0
477,1.0,-1.0,2956,1.0
478,1.0,-1.0,2918,1.0
479,-4.0,4.0,2892,-4.0
480,8.0,-8.0,2696,8.0
481,-14.0,14.0,1690,-14.0
482,-6.0,6.0,2408,-6.0
483,1.0,-1.0,3102,1.0
484,1.0,-1.0,2781,1.0
485,13.0,-13.0,1794,13.0
486,-11.0,11.0,1822,-11.0
487,-4.0,4.0,2275,-4.0
488,4.0,-4.0,2307,4.0
489,2.0,-2.0,2607,2.0
490,12.0,-12.0,2248,12.0
491,8.0,-8.0,2408,8.0
492,-6.0,6.0,2073,-6.0
493,-4.0,4.0,2681,-4.0
494,4.0,-4.0,2502,4.0
495,-2.0,2.0,2619,-2.0
496,-6.0,6.0,2256,-6.0
497,-13.0,13.0,2029,-13.0
498,-10.0,10.0,2374,-10.0
499,-4.0,4.0,2590,-4.0
500,7.0,-7.0,2246,7.0
501,10.0,-10.0,2204,10.0
502,-10.0,10.0,1843,-10.0
