game,score,steps
1,19.0,1694
2,21.0,1677
3,19.0,1924
4,15.0,2086
5,16.0,2032
6,20.0,1727
7,19.0,1806
8,18.0,1882
9,19.0,1843
10,18.0,1792
11,19.0,1843
12,20.0,1688
13,19.0,1726
14,21.0,1632
15,20.0,1725
16,21.0,1631
17,21.0,1629
18,20.0,1696
19,21.0,1629
20,18.0,1862
21,21.0,1693
22,19.0,1746
23,21.0,1691
24,18.0,1855
25,13.0,2153
26,21.0,1628
27,21.0,1633
28,14.0,2358
29,20.0,1711
30,20.0,1663
31,16.0,2034
32,19.0,1808
33,19.0,1750
34,19.0,1804
35,13.0,2214
36,21.0,1629
37,17.0,1920
38,19.0,1830
39,18.0,1857
40,13.0,2277
41,21.0,1628
42,19.0,1794
43,21.0,1631
44,19.0,1799
45,19.0,1808
46,19.0,1804
47,21.0,1629
48,21.0,1647
49,21.0,1648
50,14.0,2147
51,19.0,1806
52,17.0,1902
53,21.0,1635
54,21.0,1632
55,20.0,1661
56,21.0,1645
57,20.0,1740
58,21.0,1665
59,15.0,2151
60,21.0,1629
61,21.0,1635
62,19.0,1807
63,20.0,1681
64,20.0,1665
65,20.0,1742
66,21.0,1646
67,21.0,1632
68,21.0,1648
69,14.0,2343
70,21.0,1662
71,20.0,1787
72,21.0,1632
73,21.0,1629
74,20.0,1806
75,19.0,1806
76,20.0,1769
77,19.0,1761
78,20.0,1661
79,21.0,1652
80,21.0,1629
81,21.0,1634
82,18.0,1858
83,21.0,1630
84,14.0,2189
85,18.0,1846
86,16.0,1955
87,18.0,1915
88,19.0,1804
89,19.0,1699
90,17.0,1957
91,21.0,1629
92,21.0,1813
93,19.0,1825
94,21.0,1629
95,20.0,1721
96,20.0,1661
97,21.0,1634
98,19.0,1808
99,18.0,1876
100,21.0,1629
101,19.0,1808
102,19.0,1805
103,17.0,2092
104,19.0,1849
105,20.0,1735
106,18.0,1871
107,18.0,1888
108,20.0,1724
109,21.0,1646
110,17.0,1844
111,19.0,1769
112,20.0,1687
113,20.0,1751
114,17.0,1988
115,20.0,1662
116,18.0,1899
117,20.0,1723
118,20.0,1661
119,20.0,1747
120,21.0,1645
121,16.0,2029
122,20.0,1706
123,21.0,1653
124,16.0,1964
125,21.0,1630
126,20.0,1665
127,16.0,2007
128,21.0,1629
129,21.0,1634
130,19.0,1783
131,21.0,1632
132,21.0,1662
133,16.0,2028
134,19.0,1747
135,16.0,2034
136,21.0,1692
137,21.0,1633
138,19.0,1804
139,21.0,1631
140,14.0,2216
141,20.0,1729
142,21.0,1626
143,20.0,1662
144,21.0,1646
145,21.0,1632
146,21.0,1694
147,20.0,1724
148,15.0,2126
149,20.0,1728
150,19.0,1833
151,19.0,1759
152,18.0,1782
153,19.0,1750
154,21.0,1634
155,18.0,1897
156,20.0,1663
157,20.0,1662
158,16.0,2032
159,21.0,1652
160,20.0,1664
161,21.0,1633
162,18.0,1847
163,19.0,1742
164,19.0,1759
165,21.0,1632
166,20.0,1665
167,19.0,1750
168,20.0,1721
169,21.0,1646
170,21.0,1629
171,20.0,1724
172,21.0,1629
173,20.0,1741
174,18.0,1808
175,16.0,2030
176,21.0,1645
177,21.0,1668
178,21.0,1632
179,20.0,1661
180,18.0,1964
181,20.0,1748
182,19.0,1696
183,21.0,1645
184,19.0,1725
185,21.0,1633
186,19.0,1793
187,19.0,1804
188,16.0,2034
189,18.0,2039
190,21.0,1650
191,21.0,1645
192,19.0,1804
193,21.0,1630
194,17.0,1940
195,21.0,1633
196,21.0,1692
197,19.0,1808
198,19.0,1696
199,21.0,1632
200,21.0,1629
201,21.0,1650
202,16.0,1953
203,19.0,1750
204,18.0,1896
205,20.0,1758
206,20.0,1666
207,21.0,1634
208,20.0,1663
209,20.0,1660
210,21.0,1652
211,18.0,1906
212,19.0,1877
213,20.0,1661
214,20.0,1661
215,21.0,1645
216,20.0,1706
217,21.0,1633
218,16.0,2028
219,20.0,1661
220,19.0,1852
221,17.0,1933
222,19.0,1806
223,20.0,1691
224,17.0,1928
225,20.0,1667
226,18.0,1899
227,19.0,1769
228,16.0,1972
229,16.0,2055
230,16.0,2012
231,21.0,1630
232,20.0,1659
233,18.0,1839
234,19.0,1809
235,20.0,1665
236,21.0,1646
237,16.0,2032
238,19.0,1778
239,20.0,1661
240,19.0,1762
241,18.0,1968
242,19.0,1717
243,16.0,2062
244,21.0,1631
245,20.0,1661
246,17.0,1936
247,19.0,1808
248,19.0,1808
249,17.0,1842
250,18.0,1794
251,21.0,1633
252,18.0,1819
253,20.0,1663
254,20.0,1827
255,16.0,2031
256,20.0,1665
257,19.0,1698
258,18.0,1807
259,18.0,1858
260,21.0,1629
261,21.0,1652
262,20.0,1718
263,17.0,1862
264,21.0,1652
265,19.0,1806
266,21.0,1631
267,19.0,1813
268,16.0,2032
269,20.0,1663
270,18.0,1781
271,20.0,1665
272,20.0,1688
273,20.0,1723
274,19.0,1806
275,20.0,1721
276,21.0,1701
277,21.0,1633
278,18.0,1932
279,16.0,2031
280,21.0,1645
281,16.0,2034
282,18.0,1923
283,16.0,1999
284,20.0,1738
285,19.0,1752
286,16.0,2031
287,19.0,1738
288,21.0,1652
289,21.0,1652
290,20.0,1662
291,20.0,1728
292,21.0,1647
293,20.0,1664
294,19.0,1868
295,20.0,1665
296,16.0,2031
297,19.0,1920
298,21.0,1629
299,21.0,1629
300,21.0,1646
301,20.0,1663
302,20.0,1848
303,16.0,2032
304,21.0,1629
305,17.0,1913
306,19.0,1713
307,16.0,2010
308,20.0,1661
309,21.0,1630
310,21.0,1632
311,20.0,1681
312,21.0,1629
313,21.0,1653
314,20.0,1694
315,18.0,1840
316,19.0,1842
317,21.0,1629
318,16.0,2060
319,21.0,1811
320,19.0,1844
321,20.0,1661
322,21.0,1631
323,13.0,2335
324,18.0,1893
325,17.0,1865
326,20.0,1689
327,17.0,1871
328,18.0,1920
329,18.0,1812
330,18.0,1788
331,19.0,1756
332,18.0,1912
333,20.0,1661
334,21.0,1633
335,21.0,1629
336,20.0,1732
337,19.0,1808
338,19.0,1844
339,21.0,1631
340,18.0,1824
341,21.0,1652
342,21.0,1652
343,18.0,1917
344,20.0,1685
345,20.0,1661
346,19.0,1844
347,20.0,1784
348,19.0,1814
349,20.0,1697
350,18.0,1816
351,13.0,2277
352,19.0,1845
353,16.0,2028
354,19.0,1808
355,21.0,1629
356,14.0,2099
357,20.0,1724
358,18.0,1826
359,20.0,1661
360,16.0,2071
361,19.0,1859
362,19.0,1931
363,16.0,1894
364,20.0,1661
365,16.0,2021
366,21.0,1628
367,15.0,2084
368,21.0,1633
369,21.0,1652
370,21.0,1635
371,16.0,2063
372,20.0,1680
373,21.0,1648
374,18.0,1832
375,21.0,1645
376,14.0,2125
377,21.0,1631
378,15.0,2080
379,16.0,2016
380,21.0,1651
381,18.0,1872
382,19.0,1775
383,17.0,1961
384,21.0,1633
385,21.0,1634
386,15.0,2050
387,20.0,1694
388,16.0,2018
389,19.0,1763
390,19.0,1762
391,19.0,1807
392,20.0,1810
393,20.0,1737
394,20.0,1726
395,20.0,1661
396,20.0,1681
397,14.0,2036
398,15.0,2122
399,19.0,1807
400,19.0,1751
401,20.0,1661
402,18.0,1877
403,21.0,1634
404,21.0,1629
405,21.0,1632
406,21.0,1634
407,20.0,1663
408,18.0,1903
409,20.0,1663
410,18.0,1796
411,15.0,2207
412,20.0,1831
413,20.0,1802
414,19.0,1785
415,16.0,1990
416,19.0,1851
417,19.0,1809
418,20.0,1661
419,15.0,2076
420,16.0,2113
421,20.0,1744
422,20.0,1681
423,21.0,1632
424,15.0,2083
425,19.0,1864
426,19.0,1798
427,20.0,1725
428,16.0,1939
429,20.0,1661
430,21.0,1629
431,17.0,1906
432,20.0,1660
433,16.0,1954
434,18.0,1854
435,20.0,1779
436,18.0,1913
437,13.0,2267
438,21.0,1652
439,21.0,1669
440,18.0,1854
441,18.0,1841
442,21.0,1629
443,21.0,1629
444,20.0,1741
445,20.0,1665
446,20.0,1806
447,19.0,1883
448,14.0,2210
449,16.0,2065
450,21.0,1629
451,21.0,1633
452,20.0,1875
453,11.0,2523
454,19.0,1806
455,18.0,1838
456,18.0,1831
457,18.0,1919
458,21.0,1645
459,21.0,1629
460,21.0,1645
461,16.0,1896
462,19.0,1880
463,21.0,1629
464,18.0,1824
465,21.0,1632
466,20.0,1693
467,21.0,1633
468,21.0,1632
469,14.0,2101
470,17.0,1986
471,17.0,1905
472,21.0,1629
473,19.0,1750
474,19.0,1807
475,21.0,1630
476,21.0,1632
477,21.0,1633
478,18.0,1899
479,21.0,1708
480,21.0,1648
481,15.0,2186
482,19.0,1696
483,19.0,1804
484,18.0,1782
485,18.0,1843
486,21.0,1632
487,20.0,1721
488,20.0,1707
489,16.0,2008
490,16.0,2083
491,19.0,1806
492,21.0,1707
493,21.0,1633
494,19.0,1807
495,15.0,2062
496,18.0,1875
497,12.0,2437
498,21.0,1648
499,18.0,1988
500,20.0,1720
501,19.0,1845
502,20.0,1661
503,20.0,1663
504,16.0,2031
505,21.0,1631
506,19.0,1695
507,20.0,1670
508,21.0,1633
509,15.0,2090
510,19.0,1844
511,19.0,1771
512,21.0,1652
513,19.0,1818
514,18.0,1845
515,21.0,1662
516,20.0,1677
517,20.0,1665
518,20.0,1663
519,18.0,1895
520,20.0,1721
521,19.0,1807
522,16.0,2008
523,21.0,1652
524,19.0,1703
525,19.0,1806
526,21.0,1629
527,21.0,1633
528,21.0,1629
529,18.0,1837
530,19.0,1804
531,21.0,1754
532,21.0,1634
533,21.0,1645
534,19.0,1788
535,13.0,2275
536,19.0,1809
537,20.0,1663
538,17.0,1973
539,19.0,1806
540,21.0,1646
541,16.0,2031
542,18.0,1879
543,20.0,1784
544,19.0,1845
545,20.0,1662
546,16.0,2031
547,21.0,1647
548,21.0,1629
549,19.0,1826
550,19.0,1843
551,18.0,1933
552,18.0,1892
553,19.0,1808
554,21.0,1646
555,19.0,1750
556,17.0,2000
557,19.0,1803
558,15.0,2076
559,12.0,2415
560,21.0,1630
561,21.0,1629
562,21.0,1629
563,21.0,1645
564,17.0,1952
565,15.0,2129
566,18.0,1884
567,20.0,1655
568,21.0,1632
569,18.0,1891
570,21.0,1713
571,21.0,1629
572,15.0,2082
573,20.0,1788
574,12.0,2313
575,21.0,1629
576,19.0,1803
577,20.0,1735
578,19.0,1752
579,16.0,2027
580,21.0,1649
581,21.0,1635
582,21.0,1635
583,21.0,1639
584,19.0,1786
585,21.0,1628
586,16.0,2007
587,18.0,1791
588,17.0,1939
589,14.0,2100
590,14.0,2249
591,19.0,1787
592,21.0,1629
593,20.0,1668
594,20.0,1665
595,21.0,1629
596,18.0,2039
597,17.0,1829
598,21.0,1646
599,16.0,2032
600,21.0,1633
601,18.0,1845
602,19.0,1789
603,20.0,1665
604,17.0,1926
605,15.0,2100
606,21.0,1629
607,19.0,1718
608,18.0,1831
609,20.0,1721
610,20.0,1734
611,15.0,2190
612,18.0,1887
613,18.0,1838
614,16.0,2105
615,16.0,1956
616,17.0,1977
617,21.0,1634
618,18.0,1858
619,19.0,1845
620,14.0,2145
621,20.0,1724
622,21.0,1629
623,13.0,2258
624,16.0,2030
625,21.0,1633
626,21.0,1652
627,18.0,1781
628,16.0,2039
629,19.0,1806
630,16.0,2031
631,14.0,2206
632,19.0,1808
633,19.0,1807
634,20.0,1665
635,21.0,1624
636,20.0,1728
637,20.0,1661
638,21.0,1630
639,21.0,1628
640,16.0,2127
641,20.0,1663
642,15.0,2124
643,19.0,1803
644,20.0,1664
645,19.0,1886
646,21.0,1629
647,19.0,1880
648,21.0,1624
649,15.0,2086
650,19.0,1806
651,19.0,1828
652,21.0,1667
653,21.0,1678
654,20.0,1725
655,21.0,1629
656,18.0,1883
657,18.0,1883
658,16.0,2028
659,21.0,1633
660,21.0,1631
661,18.0,1763
662,18.0,1843
663,21.0,1634
664,19.0,1774
665,21.0,1633
666,13.0,2153
667,21.0,1632
668,21.0,1651
669,19.0,1800
670,20.0,1967
671,20.0,1729
672,19.0,1822
673,18.0,1881
674,21.0,1630
675,18.0,1876
676,20.0,1665
677,21.0,1648
678,19.0,1760
679,17.0,1933
680,20.0,1768
681,21.0,1648
682,16.0,1945
683,21.0,1629
684,20.0,1663
685,16.0,2000
686,18.0,1861
687,19.0,1811
688,19.0,1751
689,20.0,1770
690,21.0,1631
691,16.0,2034
692,19.0,1808
693,21.0,1632
694,16.0,2027
695,18.0,1778
696,19.0,1807
697,18.0,1808
698,19.0,1849
699,20.0,1665
700,15.0,2056
701,21.0,1634
702,18.0,1829
703,14.0,2113
704,19.0,1806
705,21.0,1650
706,16.0,2034
707,21.0,1633
708,20.0,1831
709,21.0,1629
710,19.0,1833
711,13.0,2275
712,19.0,1699
713,16.0,2028
714,21.0,1632
715,20.0,1759
716,18.0,1896
717,19.0,1806
718,21.0,1628
719,18.0,1812
720,18.0,1843
721,20.0,1665
722,21.0,1632
723,16.0,2031
724,20.0,1665
725,19.0,1838
726,21.0,1629
727,16.0,2031
728,19.0,1804
729,21.0,1635
730,21.0,1632
731,15.0,2076
732,20.0,1662
733,19.0,1776
734,21.0,1632
735,21.0,1694
736,16.0,2028
737,21.0,1633
738,18.0,1818
739,18.0,1901
740,20.0,1661
741,21.0,1644
742,21.0,1635
743,16.0,2034
744,20.0,1661
745,20.0,1745
746,20.0,1667
747,18.0,1845
748,21.0,1652
749,20.0,1660
750,21.0,1628
751,15.0,2182
752,18.0,1779
753,21.0,1633
754,19.0,1728
755,18.0,1825
756,17.0,1944
757,21.0,1652
758,20.0,1732
759,18.0,1852
760,21.0,1628
761,21.0,1653
762,14.0,2190
763,16.0,2027
764,21.0,1652
765,19.0,1838
766,21.0,1646
767,19.0,1757
768,21.0,1629
769,18.0,2064
770,19.0,1805
771,19.0,1813
772,19.0,1762
773,20.0,1707
774,18.0,1832
775,19.0,1913
776,14.0,2190
777,20.0,1659
778,21.0,1780
779,18.0,1922
780,21.0,1629
781,21.0,1650
782,21.0,1628
783,16.0,2007
784,21.0,1629
785,20.0,1701
786,18.0,1923
787,18.0,1796
788,20.0,1665
789,19.0,1803
790,17.0,1904
791,18.0,1858
792,18.0,1951
793,17.0,1938
794,18.0,1863
795,17.0,1871
796,16.0,2028
797,21.0,1646
798,21.0,1635
799,20.0,1682
800,19.0,1808
801,21.0,1632
802,16.0,2034
803,19.0,1750
804,20.0,1662
805,19.0,1762
806,20.0,1724
807,21.0,1639
808,19.0,1729
809,21.0,1634
810,17.0,2062
811,21.0,1634
812,20.0,1661
813,16.0,2028
814,18.0,1914
815,21.0,1633
816,20.0,1686
817,20.0,1724
818,20.0,1827
819,19.0,1742
820,21.0,1632
821,21.0,1633
822,21.0,1633
823,19.0,1781
824,20.0,1692
825,20.0,1683
826,19.0,1804
827,19.0,1768
828,21.0,1633
829,20.0,1692
830,19.0,1748
831,14.0,2196
832,19.0,1763
833,20.0,1665
834,16.0,2118
835,19.0,1788
836,19.0,1752
837,21.0,1645
838,19.0,1737
839,21.0,1632
840,20.0,1692
841,21.0,1629
842,19.0,1855
843,17.0,1943
844,15.0,2051
845,20.0,1686
846,18.0,1898
847,20.0,1663
848,18.0,1805
849,21.0,1632
850,20.0,1752
851,17.0,1944
852,21.0,1633
853,19.0,1806
854,15.0,2079
855,21.0,1645
856,20.0,1660
857,17.0,1932
858,17.0,1907
859,15.0,2028
860,21.0,1646
861,21.0,1628
862,19.0,1804
863,19.0,1802
864,19.0,1797
865,21.0,1634
866,16.0,2052
867,20.0,1730
868,20.0,1719
869,15.0,2129
870,21.0,1750
871,21.0,1633
872,20.0,1748
873,20.0,1658
874,21.0,1633
875,21.0,1645
876,18.0,1906
877,20.0,1661
878,19.0,1804
879,21.0,1646
880,18.0,1911
881,17.0,1939
882,20.0,1661
883,20.0,1663
884,19.0,1747
885,17.0,1971
886,20.0,1734
887,21.0,1646
888,14.0,2113
889,21.0,1652
890,21.0,1629
891,19.0,1826
892,21.0,1630
893,20.0,1683
894,20.0,1661
895,13.0,2244
896,19.0,1808
897,16.0,2028
898,20.0,1661
899,18.0,1778
900,17.0,1944
901,21.0,1631
902,16.0,2034
903,21.0,1646
904,19.0,1776
905,20.0,1692
906,19.0,1833
907,21.0,1633
908,21.0,1633
909,17.0,1872
910,21.0,1631
911,17.0,1921
912,21.0,1647
913,18.0,1798
914,16.0,2030
915,18.0,1926
916,21.0,1634
917,21.0,1623
918,18.0,1842
919,20.0,1747
920,17.0,1997
921,20.0,1661
922,21.0,1628
923,17.0,1925
924,21.0,1648
925,14.0,2300
926,19.0,2016
927,19.0,1818
928,21.0,1628
929,17.0,1932
930,19.0,1751
931,18.0,1816
932,19.0,1732
933,19.0,1859
934,19.0,1808
935,21.0,1628
936,20.0,1659
937,16.0,2031
938,20.0,1725
939,20.0,1661
940,17.0,1874
941,21.0,1632
942,21.0,1629
943,18.0,1808
944,21.0,1648
945,21.0,1633
946,20.0,1660
947,20.0,1762
948,16.0,2068
949,21.0,1632
950,20.0,1697
951,18.0,1817
952,16.0,2000
953,19.0,1746
954,16.0,2031
955,21.0,1629
956,15.0,2086
957,17.0,1839
958,16.0,2003
959,19.0,1766
960,20.0,1679
961,19.0,1827
962,19.0,1757
963,21.0,1668
964,18.0,1930
965,21.0,1645
966,19.0,1808
967,18.0,1899
968,21.0,1646
969,17.0,1971
970,21.0,1633
971,20.0,1663
972,19.0,1729
973,21.0,1624
974,19.0,1696
975,20.0,1808
976,20.0,1664
977,20.0,1728
978,21.0,1632
979,21.0,1686
980,20.0,1723
981,15.0,2139
982,20.0,1788
983,16.0,2062
984,15.0,2321
985,19.0,1790
986,21.0,1652
987,20.0,1719
988,19.0,1702
989,21.0,1629
990,18.0,1901
991,17.0,1987
992,21.0,1653
993,19.0,1784
994,19.0,1806
995,19.0,1804
996,20.0,1725
997,12.0,2320
998,21.0,1648
999,21.0,1652
1000,18.0,1897
